hotel_id,hotel_name,hotel_address,hotel_city
hotel_744,Spacious Lowville Retreat on 4 Private Acres!,Lowville  NY,Copenhagen
hotel_745,Henderson Harbor Cottage w/ Lake Access!,10401 Bayshore Dr  Henderson Harbor  NY  13651,Copenhagen
hotel_746,8 Mi to Lake Ontario: Pet-friendly Apt w/ Deck!,Adams  NY,Copenhagen
hotel_747,Upstate New York Home Near Snowmobiling & Atving!,Lyons Falls  NY,Copenhagen
hotel_748,"Peaceful Home w/ 11 Acres, Creek & Fire Pit!",Glenfield  NY,Copenhagen
hotel_749,Altmar Family Home w/ Rivers & Trails Nearby!,Altmar  NY,Copenhagen
hotel_750,Altmar Home w/ Fire Pit < 1 Mi to Salmon River!,Altmar  NY,Copenhagen
hotel_751,Lake Ontario Cottage BBQ Fire Pit,Sandy Creek  NY,Copenhagen
hotel_752,Only YOU Hotel Atocha,Paseo Infanta Isabel 13  Atocha  Madrid  28014,"Madrid, Spain"
hotel_753,Only YOU Boutique Hotel,Calle Barquillo  21  Madrid  Madrid  28004,"Madrid, Spain"
hotel_754,SmartRental Collection Gran Vía Capital,Calle Gran Vía 14  Madrid  28013,"Madrid, Spain"
hotel_755,Akeah Hotel Gran Via,San Bernardo  48  Madrid  Madrid  28015,"Madrid, Spain"
hotel_756,Hotel JC Rooms Chueca,Calle Infantas 5  Madrid  28004,"Madrid, Spain"
hotel_757,"Bless Hotel Madrid, a member of The Leading Hotels of the World",62 Velazquez St  Madrid  Madrid  28001,"Madrid, Spain"
hotel_758,Avani Alonso Martinez Martinez (previously NH Alonso Martinez),Calle de Santa Engracia  5  Madrid  Madrid  28010,"Madrid, Spain"
